"Reporting starts","Reporting ends","Campaign name",Age,Gender,"Campaign delivery",Results,"Result indicator","Cost per results","Ad set budget","Ad set budget type","Amount spent (VND)",Impressions,Reach,Ends,"Attribution setting","Total messaging contacts","New messaging contacts","Purchases conversion value","Purchase ROAS (return on ad spend)","Cost per new messaging contact (VND)","Messaging conversations started","Cost per messaging conversation started (VND)","Clicks (all)"
2026-03-01,2026-04-01,linh,18-24,female,active,15,actions:onsite_conversion.lead_grouped,142245,220000,Daily,2133675,22332,13774,Ongoing,"7-day click or 1-day view",29,29,,,73575,29,73575,278
2026-03-01,2026-04-01,linh,18-24,male,active,11,actions:onsite_conversion.lead_grouped,132217.27272727,220000,Daily,1454390,21506,14453,Ongoing,"7-day click or 1-day view",23,19,,,76546.842105,20,72719.5,626
2026-03-01,2026-04-01,linh,18-24,unknown,active,,,,220000,Daily,55623,681,465,Ongoing,"7-day click or 1-day view",1,1,,,55623,1,55623,22
2026-03-01,2026-04-01,linh,25-34,female,active,4,actions:onsite_conversion.lead_grouped,211976,220000,Daily,847904,6318,4303,Ongoing,"7-day click or 1-day view",9,7,,,121129.142857,8,105988,84
2026-03-01,2026-04-01,linh,25-34,male,active,9,actions:onsite_conversion.lead_grouped,98635.11111111,220000,Daily,887716,9471,6344,Ongoing,"7-day click or 1-day view",15,9,,,98635.111111,11,80701.454545,335
2026-03-01,2026-04-01,linh,25-34,unknown,active,1,actions:onsite_conversion.lead_grouped,19418,220000,Daily,19418,162,117,Ongoing,"7-day click or 1-day view",1,1,,,19418,1,19418,2
2026-03-01,2026-04-01,linh,35-44,female,active,1,actions:onsite_conversion.lead_grouped,132747,220000,Daily,132747,667,516,Ongoing,"7-day click or 1-day view",1,1,,,132747,1,132747,27
2026-03-01,2026-04-01,linh,35-44,male,active,,,,220000,Daily,162310,1203,890,Ongoing,"7-day click or 1-day view",2,2,,,81155,2,81155,49
2026-03-01,2026-04-01,linh,35-44,unknown,active,,,,220000,Daily,1906,17,13,Ongoing,"7-day click or 1-day view",,,,,,,,0
2026-03-01,2026-04-01,linh,45-54,female,active,,,,220000,Daily,46041,190,146,Ongoing,"7-day click or 1-day view",,,,,,,,12
2026-03-01,2026-04-01,linh,45-54,male,active,1,actions:onsite_conversion.lead_grouped,31858,220000,Daily,31858,271,203,Ongoing,"7-day click or 1-day view",1,1,,,31858,1,31858,9
2026-03-01,2026-04-01,linh,45-54,unknown,active,,,,220000,Daily,208,4,4,Ongoing,"7-day click or 1-day view",,,,,,,,0
2026-03-01,2026-04-01,linh,55-64,female,active,,,,220000,Daily,14326,78,52,Ongoing,"7-day click or 1-day view",,,,,,,,5
2026-03-01,2026-04-01,linh,55-64,male,active,,,,220000,Daily,7710,43,34,Ongoing,"7-day click or 1-day view",,,,,,,,3
2026-03-01,2026-04-01,linh,65+,female,active,,,,220000,Daily,4568,44,29,Ongoing,"7-day click or 1-day view",,,,,,,,1
2026-03-01,2026-04-01,linh,65+,male,active,,,,220000,Daily,10207,75,55,Ongoing,"7-day click or 1-day view",,,,,,,,4
2026-03-01,2026-04-01,linh,65+,unknown,active,,,,220000,Daily,121,1,1,Ongoing,"7-day click or 1-day view",,,,,,,,0
2026-03-01,2026-04-01,ttlinh,18-24,female,active,463,actions:post_engagement,14.65442765,50000,Daily,6785,770,676,Ongoing,"7-day click or 1-day view",,,,,,,,11
