"Reporting starts","Reporting ends","Campaign name",Age,Gender,"Campaign delivery",Results,"Result indicator","Cost per results","Ad set budget","Ad set budget type","Amount spent (VND)",Impressions,Reach,Ends,"Attribution setting","Total messaging contacts","New messaging contacts","Purchases conversion value","Purchase ROAS (return on ad spend)","Cost per new messaging contact (VND)","Messaging conversations started","Cost per messaging conversation started (VND)","Clicks (all)"
2026-01-01,2026-02-01,linh,18-24,female,active,10,actions:onsite_conversion.lead_grouped,113618.1,220000,Daily,1136181,7161,4037,Ongoing,"7-day click or 1-day view",16,16,,,71011.3125,16,71011.3125,99
2026-01-01,2026-02-01,linh,18-24,male,active,7,actions:onsite_conversion.lead_grouped,179265.85714286,220000,Daily,1254861,17788,11131,Ongoing,"7-day click or 1-day view",9,8,,,156857.625,9,139429,697
2026-01-01,2026-02-01,linh,18-24,unknown,active,,,,220000,Daily,34490,385,225,Ongoing,"7-day click or 1-day view",,,,,,,,12
2026-01-01,2026-02-01,linh,25-34,female,active,2,actions:onsite_conversion.lead_grouped,298878.5,220000,Daily,597757,2559,1601,Ongoing,"7-day click or 1-day view",9,8,,,74719.625,9,66417.444444,57
2026-01-01,2026-02-01,linh,25-34,male,active,3,actions:onsite_conversion.lead_grouped,376850,220000,Daily,1130550,10355,6975,Ongoing,"7-day click or 1-day view",9,8,,,141318.75,9,125616.666667,509
2026-01-01,2026-02-01,linh,25-34,unknown,active,,,,220000,Daily,15268,104,72,Ongoing,"7-day click or 1-day view",,,,,,,,3
2026-01-01,2026-02-01,linh,35-44,female,active,,,,220000,Daily,124540,340,250,Ongoing,"7-day click or 1-day view",1,1,,,124540,1,124540,15
2026-01-01,2026-02-01,linh,35-44,male,active,3,actions:onsite_conversion.lead_grouped,79687,220000,Daily,239061,1624,1180,Ongoing,"7-day click or 1-day view",5,3,,,79687,3,79687,108
2026-01-01,2026-02-01,linh,35-44,unknown,active,,,,220000,Daily,1628,12,11,Ongoing,"7-day click or 1-day view",,,,,,,,0
2026-01-01,2026-02-01,linh,45-54,female,active,,,,220000,Daily,49683,104,84,Ongoing,"7-day click or 1-day view",,,,,,,,5
2026-01-01,2026-02-01,linh,45-54,male,active,1,actions:onsite_conversion.lead_grouped,71400,220000,Daily,71400,381,264,Ongoing,"7-day click or 1-day view",2,2,,,35700,2,35700,18
2026-01-01,2026-02-01,linh,45-54,unknown,active,,,,220000,Daily,2175,8,6,Ongoing,"7-day click or 1-day view",,,,,,,,0
2026-01-01,2026-02-01,linh,55-64,female,active,,,,220000,Daily,10951,34,24,Ongoing,"7-day click or 1-day view",1,1,,,10951,1,10951,3
2026-01-01,2026-02-01,linh,55-64,male,active,,,,220000,Daily,23795,65,50,Ongoing,"7-day click or 1-day view",1,1,,,23795,1,23795,4
2026-01-01,2026-02-01,linh,55-64,unknown,active,,,,220000,Daily,139,2,1,Ongoing,"7-day click or 1-day view",,,,,,,,0
2026-01-01,2026-02-01,linh,65+,female,active,1,actions:onsite_conversion.lead_grouped,6281,220000,Daily,6281,23,19,Ongoing,"7-day click or 1-day view",1,1,,,6281,1,6281,1
2026-01-01,2026-02-01,linh,65+,male,active,,,,220000,Daily,14282,98,70,Ongoing,"7-day click or 1-day view",,,,,,,,5
2026-01-01,2026-02-01,linh,65+,unknown,active,,,,220000,Daily,54,1,1,Ongoing,"7-day click or 1-day view",,,,,,,,0
2026-01-01,2026-02-01,ninh2,18-24,female,inactive,,,,210000,Daily,341423,1340,914,Ongoing,"7-day click or 1-day view",2,2,,,170711.5,2,170711.5,30
2026-01-01,2026-02-01,ninh2,18-24,male,inactive,1,actions:onsite_conversion.lead_grouped,405834,210000,Daily,405834,5546,4063,Ongoing,"7-day click or 1-day view",4,4,,,101458.5,4,101458.5,262
2026-01-01,2026-02-01,ninh2,18-24,unknown,inactive,,,,210000,Daily,6409,90,64,Ongoing,"7-day click or 1-day view",,,,,,,,4
2026-01-01,2026-02-01,ninh2,25-34,female,inactive,1,actions:onsite_conversion.lead_grouped,162326,210000,Daily,162326,515,371,Ongoing,"7-day click or 1-day view",2,2,,,81163,2,81163,25
2026-01-01,2026-02-01,ninh2,25-34,male,inactive,2,actions:onsite_conversion.lead_grouped,195659,210000,Daily,391318,3339,2418,Ongoing,"7-day click or 1-day view",3,3,,,130439.333333,3,130439.333333,171
2026-01-01,2026-02-01,ninh2,25-34,unknown,inactive,,,,210000,Daily,6862,29,19,Ongoing,"7-day click or 1-day view",,,,,,,,3
2026-01-01,2026-02-01,ninh2,35-44,female,inactive,,,,210000,Daily,28759,79,57,Ongoing,"7-day click or 1-day view",,,,,,,,5
2026-01-01,2026-02-01,ninh2,35-44,male,inactive,,,,210000,Daily,70753,447,319,Ongoing,"7-day click or 1-day view",1,1,,,70753,1,70753,41
2026-01-01,2026-02-01,ninh2,35-44,unknown,inactive,,,,210000,Daily,672,4,4,Ongoing,"7-day click or 1-day view",,,,,,,,0
2026-01-01,2026-02-01,ninh2,45-54,female,inactive,,,,210000,Daily,2225,12,9,Ongoing,"7-day click or 1-day view",,,,,,,,0
2026-01-01,2026-02-01,ninh2,45-54,male,inactive,,,,210000,Daily,15345,72,60,Ongoing,"7-day click or 1-day view",,,,,,,,5
2026-01-01,2026-02-01,ninh2,45-54,unknown,inactive,,,,210000,Daily,144,1,1,Ongoing,"7-day click or 1-day view",,,,,,,,0
2026-01-01,2026-02-01,ninh2,55-64,female,inactive,,,,210000,Daily,774,4,3,Ongoing,"7-day click or 1-day view",,,,,,,,0
2026-01-01,2026-02-01,ninh2,55-64,male,inactive,,,,210000,Daily,4771,22,17,Ongoing,"7-day click or 1-day view",,,,,,,,0
2026-01-01,2026-02-01,ninh2,65+,female,inactive,,,,210000,Daily,1059,9,5,Ongoing,"7-day click or 1-day view",,,,,,,,2
2026-01-01,2026-02-01,ninh2,65+,male,inactive,,,,210000,Daily,1485,28,24,Ongoing,"7-day click or 1-day view",,,,,,,,1
2026-01-01,2026-02-01,ninh2,65+,unknown,inactive,,,,210000,Daily,363,1,1,Ongoing,"7-day click or 1-day view",,,,,,,,0
2026-01-01,2026-02-01,ninh3,18-24,female,inactive,2,actions:onsite_conversion.lead_grouped,159938,215000,Daily,319876,1451,1039,Ongoing,"7-day click or 1-day view",2,1,,,319876,1,319876,28
2026-01-01,2026-02-01,ninh3,18-24,male,inactive,,,,215000,Daily,456689,7009,5331,Ongoing,"7-day click or 1-day view",4,3,,,152229.666667,3,152229.666667,316
2026-01-01,2026-02-01,ninh3,18-24,unknown,inactive,,,,215000,Daily,9668,130,84,Ongoing,"7-day click or 1-day view",,,,,,,,4
2026-01-01,2026-02-01,ninh3,25-34,female,inactive,,,,215000,Daily,175748,559,412,Ongoing,"7-day click or 1-day view",1,1,,,175748,1,175748,13
2026-01-01,2026-02-01,ninh3,25-34,male,inactive,,,,215000,Daily,371322,4223,3119,Ongoing,"7-day click or 1-day view",3,3,,,123774,3,123774,231
2026-01-01,2026-02-01,ninh3,25-34,unknown,inactive,,,,215000,Daily,2710,35,32,Ongoing,"7-day click or 1-day view",,,,,,,,1
2026-01-01,2026-02-01,ninh3,35-44,female,inactive,,,,215000,Daily,35413,89,64,Ongoing,"7-day click or 1-day view",,,,,,,,5
2026-01-01,2026-02-01,ninh3,35-44,male,inactive,,,,215000,Daily,73744,498,401,Ongoing,"7-day click or 1-day view",,,,,,,,47
2026-01-01,2026-02-01,ninh3,35-44,unknown,inactive,,,,215000,Daily,104,4,4,Ongoing,"7-day click or 1-day view",,,,,,,,0
2026-01-01,2026-02-01,ninh3,45-54,female,inactive,,,,215000,Daily,10769,9,5,Ongoing,"7-day click or 1-day view",,,,,,,,1
2026-01-01,2026-02-01,ninh3,45-54,male,inactive,,,,215000,Daily,8079,94,69,Ongoing,"7-day click or 1-day view",,,,,,,,4
2026-01-01,2026-02-01,ninh3,45-54,unknown,inactive,,,,215000,Daily,37,2,1,Ongoing,"7-day click or 1-day view",,,,,,,,0
2026-01-01,2026-02-01,ninh3,55-64,female,inactive,,,,215000,Daily,494,6,3,Ongoing,"7-day click or 1-day view",,,,,,,,0
2026-01-01,2026-02-01,ninh3,55-64,male,inactive,,,,215000,Daily,3372,24,19,Ongoing,"7-day click or 1-day view",,,,,,,,1
2026-01-01,2026-02-01,ninh3,65+,female,inactive,,,,215000,Daily,1065,5,4,Ongoing,"7-day click or 1-day view",,,,,,,,1
2026-01-01,2026-02-01,ninh3,65+,male,inactive,,,,215000,Daily,3008,54,41,Ongoing,"7-day click or 1-day view",,,,,,,,4
2026-01-01,2026-02-01,amanh,18-24,female,inactive,3,actions:onsite_conversion.lead_grouped,117428,220000,Daily,352284,2815,1396,Ongoing,"7-day click or 1-day view",5,4,,,88071,4,88071,57
2026-01-01,2026-02-01,amanh,18-24,male,inactive,,,,220000,Daily,389160,5446,2800,Ongoing,"7-day click or 1-day view",1,1,,,389160,1,389160,88
2026-01-01,2026-02-01,amanh,18-24,unknown,inactive,,,,220000,Daily,11916,178,70,Ongoing,"7-day click or 1-day view",,,,,,,,3
2026-01-01,2026-02-01,amanh,25-34,female,inactive,,,,220000,Daily,226734,1491,746,Ongoing,"7-day click or 1-day view",2,1,,,226734,2,113367,28
2026-01-01,2026-02-01,amanh,25-34,male,inactive,,,,220000,Daily,374369,3977,1878,Ongoing,"7-day click or 1-day view",6,5,,,74873.8,5,74873.8,98
2026-01-01,2026-02-01,amanh,25-34,unknown,inactive,,,,220000,Daily,9249,54,26,Ongoing,"7-day click or 1-day view",,,,,,,,2
2026-01-01,2026-02-01,amanh,35-44,female,inactive,1,actions:onsite_conversion.lead_grouped,55610,220000,Daily,55610,214,113,Ongoing,"7-day click or 1-day view",1,1,,,55610,1,55610,15
2026-01-01,2026-02-01,amanh,35-44,male,inactive,,,,220000,Daily,47810,424,233,Ongoing,"7-day click or 1-day view",,,,,,,,17
2026-01-01,2026-02-01,amanh,35-44,unknown,inactive,,,,220000,Daily,62,2,2,Ongoing,"7-day click or 1-day view",,,,,,,,0
2026-01-01,2026-02-01,amanh,45-54,female,inactive,,,,220000,Daily,5904,28,22,Ongoing,"7-day click or 1-day view",,,,,,,,2
2026-01-01,2026-02-01,amanh,45-54,male,inactive,,,,220000,Daily,19412,90,51,Ongoing,"7-day click or 1-day view",,,,,,,,4
2026-01-01,2026-02-01,amanh,55-64,female,inactive,,,,220000,Daily,464,9,3,Ongoing,"7-day click or 1-day view",,,,,,,,1
2026-01-01,2026-02-01,amanh,55-64,male,inactive,,,,220000,Daily,2396,20,11,Ongoing,"7-day click or 1-day view",,,,,,,,2
2026-01-01,2026-02-01,amanh,65+,female,inactive,,,,220000,Daily,484,6,5,Ongoing,"7-day click or 1-day view",,,,,,,,0
2026-01-01,2026-02-01,amanh,65+,male,inactive,,,,220000,Daily,1040,29,19,Ongoing,"7-day click or 1-day view",,,,,,,,0
2026-01-01,2026-02-01,ttlinh,18-24,female,active,278,actions:post_engagement,17.00359712,50000,Daily,4727,431,380,Ongoing,"7-day click or 1-day view",,,,,,,,11
